Date,Open,High,Low,Close,Volume,MA_20,MA_50,BB_MID_20,BB_UPPER_20,BB_LOWER_20,Return,LogReturn,RollingVol_20
2022-01-03,382.5833435058594,400.3566589355469,378.67999267578125,399.9266662597656,103931400,,,,,,,,
2022-01-04,396.51666259765625,402.6666564941406,374.3500061035156,383.1966552734375,100248300,,,,,,-0.041832696836128,-0.04273287830059682,
2022-01-05,382.2166748046875,390.11334228515625,360.336669921875,362.7066650390625,80119800,,,,,,-0.05347121367683638,-0.054953895352910696,
2022-01-06,359.0,362.6666564941406,340.1666564941406,354.8999938964844,90336600,,,,,,-0.02152337383085412,-0.021758379841487693,
2022-01-07,360.1233215332031,360.30999755859375,336.6666564941406,342.32000732421875,84164700,,,,,,-0.035446567451716815,-0.03609004895021842,
2022-01-10,333.3333435058594,353.0333251953125,326.6666564941406,352.7066650390625,91815000,,,,,,0.03034195341380186,0.029890740749494566,
2022-01-11,351.22332763671875,358.6166687011719,346.2733459472656,354.79998779296875,66063300,,,,,,0.005935024657598653,0.005917481776156395,
2022-01-12,359.6166687011719,371.61334228515625,357.5299987792969,368.739990234375,83739000,,,,,,0.039289748931841784,0.03853754612843837,
2022-01-13,369.69000244140625,371.8666687011719,342.17999267578125,343.85333251953125,97209900,,,,,,-0.06749107331435766,-0.06987655465675016,
2022-01-14,339.9599914550781,350.6666564941406,337.7933349609375,349.8699951171875,72924300,,,,,,0.017497758575059086,0.017346435457551865,
2022-01-18,342.2033386230469,356.92999267578125,338.6866760253906,343.5033264160156,66743400,,,,,,-0.01819724123253097,-0.018364847454341894,
2022-01-19,347.2366638183594,351.5566711425781,331.6666564941406,331.8833312988281,75442500,,,,,,-0.0338278969185718,-0.03441330009854252,
2022-01-20,336.57666015625,347.2200012207031,331.3333435058594,332.0899963378906,70488600,,,,,,0.0006227038828787723,0.000622510083264904,
2022-01-21,332.11334228515625,334.8500061035156,313.5,314.6333312988281,103416000,,,,,,-0.05256606712507206,-0.0539980722931419,
2022-01-24,301.586669921875,311.1700134277344,283.8233337402344,310.0,151565700,,,,,,-0.014726129872195681,-0.014835635717323473,
2022-01-25,304.73333740234375,317.086669921875,301.07000732421875,306.1333312988281,86595900,,,,,,-0.012473124842489969,-0.012551567227813773,
2022-01-26,317.4766540527344,329.2300109863281,302.0,312.4700012207031,104867400,,,,,,0.02069905258271132,0.02048773822340817,
2022-01-27,311.1199951171875,311.7966613769531,276.3333435058594,276.3666687011719,147109500,,,,,,-0.11554175561970448,-0.12277997465910719,
2022-01-28,277.1866760253906,285.8333435058594,264.0033264160156,282.1166687011719,134789100,,,,,,0.020805692766870276,0.02059221036289143,
2022-01-31,290.9033203125,312.663330078125,287.3500061035156,312.239990234375,104436000,336.7228302001953,,336.7228302001953,400.07387581961234,273.37178458077824,0.10677611383930952,0.10145138741776683,
2022-02-01,311.7366638183594,314.5666809082031,301.6666564941406,310.4166564941406,73138200,332.24732971191406,,332.24732971191406,389.11305141913533,275.3816080046928,-0.0058395266373975074,-0.005856643341232021,0.7469834096365314
2022-02-02,309.3933410644531,310.5,296.4700012207031,301.88665771484375,66792900,328.18182983398435,,328.18182983398435,381.20713619332776,275.15652347464095,-0.02747919159891432,-0.02786380690498853,0.7408858297301147
2022-02-03,294.0,312.3333435058594,293.50665283203125,297.0466613769531,78855600,324.8988296508789,,324.8988296508789,377.0471352876825,272.75052401407527,-0.016032495024879134,-0.016162405874435497,0.7235988766439817
2022-02-04,299.0733337402344,312.1666564941406,293.72332763671875,307.7733459472656,73625400,322.542497253418,,322.542497253418,373.22112089483426,271.8638736120017,0.03611110968421327,0.035474386816493036,0.7395905031401017
2022-02-07,307.92999267578125,315.92333984375,300.9033203125,302.4466552734375,60994500,320.54882965087893,,320.54882965087893,371.0885118140641,270.0091474876938,-0.01730718642133755,-0.017458706575610557,0.732838384810183
2022-02-08,301.84332275390625,308.7633361816406,298.26666259765625,307.3333435058594,50729100,318.28016357421876,,318.28016357421876,366.77393589134016,269.78639125709736,0.0161571905234128,0.016028052271245364,0.7253998267749956
2022-02-09,311.6666564941406,315.42333984375,306.6666564941406,310.6666564941406,52259400,316.07349700927733,,316.07349700927733,361.4890025039551,270.6579915145996,0.010845920427172029,0.010787525285489406,0.7267445569748707
2022-02-10,302.7900085449219,314.60333251953125,298.8999938964844,301.51666259765625,66126900,312.7123306274414,,312.7123306274414,351.12666948645455,274.2979917684283,-0.029452771017468238,-0.0298952129692807,0.710740126927838
